planet,day,x,y
Uranus,335.75125208681135,2291505930.3760967,-1920134856.9997356
Uranus,336.36060100166947,2291733263.06654,-1919877064.2182631
Uranus,336.9699499165275,2291960564.2086077,-1919619245.0074503
Uranus,337.57929883138564,2292187833.7994475,-1919361399.3710768
Uranus,338.18864774624376,2292415071.836207,-1919103527.3129208
Uranus,338.7979966611018,2292642278.316032,-1918845628.836763
Uranus,339.40734557595994,2292869453.2360687,-1918587703.9463863
Uranus,340.01669449081805,2293096596.593468,-1918329752.645568
Uranus,340.6260434056761,2293323708.385376,-1918071774.938091
Uranus,341.23539232053423,2293550788.6089406,-1917813770.827738
Uranus,341.84474123539235,2293777837.261316,-1917555740.3182867
Uranus,342.4540901502504,2294004854.3396463,-1917297683.4135215
Uranus,343.0634390651085,2294231839.8410845,-1917039600.1172237
Uranus,343.67278797996664,2294458793.762779,-1916781490.4331775
Uranus,344.2821368948247,2294685716.1018834,-1916523354.3651614
Uranus,344.8914858096828,2294912606.8555484,-1916265191.916961
Uranus,345.5008347245409,2295139466.020923,-1916007003.0923603
Uranus,346.110183639399,2295366293.595163,-1915748787.8951395
Uranus,346.7195325542571,2295593089.5754204,-1915490546.3290832
Uranus,347.3288814691152,2295819853.958846,-1915232278.3979766
Uranus,347.9382303839733,2296046586.7425957,-1914973984.105603
Uranus,348.5475792988314,2296273287.923824,-1914715663.4557452
Uranus,349.15692821368947,2296499957.499682,-1914457316.4521904
Uranus,349.7662771285476,2296726595.4673276,-1914198943.0987215
Uranus,350.3756260434057,2296953201.823916,-1913940543.3991237
Uranus,350.98497495826376,2297179776.5666003,-1913682117.3571832
Uranus,351.5943238731219,2297406319.6925397,-1913423664.9766853
Uranus,352.20367278798,2297632831.1988897,-1913165186.2614145
Uranus,352.81302170283806,2297859311.0828056,-1912906681.2151604
Uranus,353.4223706176962,2298085759.341448,-1912648149.8417044
Uranus,354.03171953255423,2298312175.971972,-1912389592.144837
Uranus,354.64106844741235,2298538560.971537,-1912131008.1283436
Uranus,355.25041736227047,2298764914.3373027,-1911872397.7960107
Uranus,355.85976627712853,2298991236.0664268,-1911613761.1516268
Uranus,356.46911519198665,2299217526.1560693,-1911355098.198979
Uranus,357.07846410684476,2299443784.6033907,-1911096408.941855
Uranus,357.6878130217028,2299670011.4055514,-1910837693.3840425
Uranus,358.29716193656094,2299896206.559711,-1910578951.529332
Uranus,358.90651085141906,2300122370.063033,-1910320183.3815093
Uranus,359.5158597662771,2300348501.9126787,-1910061388.9443643
Uranus,360.12520868113523,2300574602.1058083,-1909802568.2216883
Uranus,360.73455759599335,2300800670.639586,-1909543721.217267
Uranus,361.3439065108514,2301026707.5111756,-1909284847.9348915
Uranus,361.95325542570953,2301252712.7177396,-1909025948.3783529
Uranus,362.5626043405676,2301478686.256442,-1908767022.5514398
Uranus,363.1719532554257,2301704628.124448,-1908508070.457943
Uranus,363.7813021702838,2301930538.3189206,-1908249092.1016543
Uranus,364.3906510851419,2302156416.837027,-1907990087.4863622
Uranus,365.0,2302382263.675932,-1907731056.61586
Neptune,0.0,2250393901.769727,-3913028289.1804667
Neptune,0.6093489148580968,2250639903.536053,-3912884060.4232306
Neptune,1.2186978297161937,2250885896.301237,-3912739816.0169306
Neptune,1.8280467445742905,2251131880.0642867,-3912595555.9621124
Neptune,2.4373956594323873,2251377854.8242,-3912451280.259332
Neptune,3.046744574290484,2251623820.5799804,-3912306988.9091415
Neptune,3.656093489148581,2251869777.330627,-3912162681.912094
Neptune,4.265442404006678,2252115725.0751467,-3912018359.268739
Neptune,4.874791318864775,2252361663.8125396,-3911874020.9796314
Neptune,5.484140233722871,2252607593.541809,-3911729667.0453224
Neptune,6.093489148580968,2252853514.261951,-3911585297.466368
Neptune,6.702838063439065,2253099425.9719753,-3911440912.2433157
Neptune,7.312186978297162,2253345328.67088,-3911296511.376722
Neptune,7.921535893155259,2253591222.357671,-3911152094.8671374
Neptune,8.530884808013356,2253837107.0313454,-3911007662.7151175
Neptune,9.140233722871452,2254082982.6909094,-3910863214.9212136
